# Sensor Lenin Avenue, Кировский район, Russia (Citizen Science project sensor.community/50231)
# https://aqicn.org/station/@158917/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2021-04-29T00:00:00.000Z,2.29,20.05,7.72,6.72,11.13,3.907,114
2021-04-30T00:00:00.000Z,1.17,6.32,4.03,2.75,4.78,1.266,102
2021-05-01T00:00:00.000Z,1.12,17.7,5.18,3.09,8.69,3.782,137
2021-05-02T00:00:00.000Z,1.6,9.75,3.13,2.33,6.2,2.043,131
2021-05-03T00:00:00.000Z,0.9,6.72,4.01,3.06,5.04,1.38,120
2021-05-04T00:00:00.000Z,0.7,10.4,1.88,1.33,2.42,1.067,117
2021-05-05T00:00:00.000Z,3,14.73,4.68,4.07,8.88,3.108,116
2021-05-06T00:00:00.000Z,1.2,14.82,8.07,5.76,10.92,3.369,105
2021-05-07T00:00:00.000Z,0.38,13.3,1.59,1.04,1.98,2.516,116
2021-05-08T00:00:00.000Z,1.6,8.3,4.68,3.31,5.56,1.549,121
2021-05-09T00:00:00.000Z,0.9,18.92,5.52,2.2,7.74,4.16,140
2021-05-10T00:00:00.000Z,0.38,75.13,4.46,1.35,11.6,16.84,128
2021-05-11T00:00:00.000Z,1.52,8.43,2.47,2.29,3.4,1.125,95
2021-05-12T00:00:00.000Z,2.04,24.8,10.16,3.33,15.65,6.879,114
2021-05-13T00:00:00.000Z,0.6,17.6,4,1.4,7.32,3.834,141
2021-05-14T00:00:00.000Z,0.35,10.8,1.89,1.27,3.04,2.915,120
2021-05-15T00:00:00.000Z,2.8,72.3,10.35,6.2,24.7,13.408,142
2021-05-16T00:00:00.000Z,5.63,54.38,18.75,12.9,28,12.65,142
2021-05-17T00:00:00.000Z,2.6,20.5,7,5.24,9.72,4.257,121
2021-05-18T00:00:00.000Z,1.63,35.67,8.26,5.29,15.68,8.565,108
2021-05-19T00:00:00.000Z,0.82,13.32,2,1.5,2.7,1.28,142
2021-05-20T00:00:00.000Z,0.88,33.38,2.68,1.8,6.95,4.588,146
2021-05-25T00:00:00.000Z,1.8,32.97,3.33,2.7,8.01,5.777,136
2021-05-26T00:00:00.000Z,1.52,16.3,3.61,2.29,4.4,1.873,150
2021-05-27T00:00:00.000Z,0.17,14.73,1.45,0.6,8.13,4.388,146
2021-05-28T00:00:00.000Z,0.65,4.9,1.42,1.1,1.77,0.775,141
2021-05-29T00:00:00.000Z,0.7,22.7,1.88,1.13,4.68,3.58,129
2021-05-30T00:00:00.000Z,2.7,13.4,4.5,3.83,9.75,3.154,162
2021-05-31T00:00:00.000Z,2.08,17.07,4.3,3.29,5.2,2.741,129
2021-06-01T00:00:00.000Z,2.5,28.58,4.8,3.69,9.01,3.921,157
2021-06-02T00:00:00.000Z,2.38,60.55,5.39,3.66,13.75,8.103,136
2021-06-03T00:00:00.000Z,1,7.7,2.08,1.4,3.13,1.583,141
2021-06-04T00:00:00.000Z,1.2,11.7,2.13,1.79,2.91,2.373,84
2021-06-07T00:00:00.000Z,2.65,11.13,5.13,4.15,7.14,2.068,153
2021-06-08T00:00:00.000Z,0.1,11.7,1.23,0.65,3.75,3.152,225
2021-06-09T00:00:00.000Z,0.28,10.52,0.9,0.6,3.67,1.932,250
2021-06-10T00:00:00.000Z,0.35,24.98,1.5,0.98,5.05,3.873,168
2021-06-11T00:00:00.000Z,0.3,9.98,1.1,0.6,4.65,2.506,143
2021-06-12T00:00:00.000Z,0.3,15.8,1.39,1,3.14,2.721,136
2021-06-13T00:00:00.000Z,0.95,22.8,5.26,3.1,12.68,5.566,114
2021-06-14T00:00:00.000Z,3.13,3.13,3.13,3.13,3.13,0,1
2021-06-15T00:00:00.000Z,1.42,11.95,3.9,2.29,6.93,2.536,176
2021-06-16T00:00:00.000Z,1.6,14.52,6.53,4.34,7.68,2.332,159
2021-06-17T00:00:00.000Z,3.88,29,8.25,6.72,13.04,4.832,221
2021-06-18T00:00:00.000Z,4.75,24.38,8.49,7.55,17.88,5.785,220
2021-06-19T00:00:00.000Z,0.32,16.98,7.72,3.45,9.69,4.03,253
